Term,College Code,College Name,Student Level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
2013.0,KL,"Agr, Cons, Env Sci",Undergraduate,2770.0,1254.0,1516.0,0.0,1854.0,245.0,137.0,218.0,1.0,4.0,74.0,224.0,13.0,,,,,,,,,
2013.0,KM,Business,Undergraduate,2973.0,1623.0,1350.0,0.0,1542.0,475.0,101.0,202.0,0.0,5.0,51.0,580.0,17.0,,,,,,,,,
2013.0,KN,Education,Undergraduate,576.0,56.0,520.0,0.0,449.0,39.0,18.0,46.0,0.0,2.0,11.0,10.0,1.0,,,,,,,,,
2013.0,KP,Engineering,Undergraduate,7112.0,6003.0,1107.0,2.0,3199.0,1410.0,110.0,359.0,6.0,11.0,183.0,1798.0,36.0,,,,,,,,,
2013.0,KR,Fine & Applied Arts,Undergraduate,1574.0,704.0,870.0,0.0,907.0,158.0,79.0,123.0,2.0,3.0,39.0,251.0,12.0,,,,,,,,,
2013.0,KT,Media,Undergraduate,1059.0,333.0,725.0,1.0,685.0,90.0,75.0,81.0,0.0,1.0,31.0,87.0,9.0,,,,,,,,,
2013.0,KV,Liberal Arts & Sci,Undergraduate,11287.0,5884.0,5399.0,4.0,5671.0,1773.0,793.0,1011.0,7.0,17.0,265.0,1680.0,70.0,,,,,,,,,
2013.0,KW,General Studies,Undergraduate,2786.0,1625.0,1161.0,0.0,1357.0,420.0,204.0,374.0,2.0,2.0,83.0,330.0,14.0,,,,,,,,,
2013.0,KY,Applied Health Sci,Undergraduate,1982.0,659.0,1323.0,0.0,1229.0,213.0,225.0,212.0,0.0,2.0,64.0,29.0,8.0,,,,,,,,,
2013.0,LE,Institute of Aviation,Undergraduate,29.0,23.0,6.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2013.0,LL,School of Social Work,Undergraduate,146.0,17.0,129.0,0.0,93.0,8.0,20.0,16.0,0.0,1.0,5.0,1.0,2.0,,,,,,,,,
2018.0,KL,"Agr, Cons, Env Sci",Undergraduate,2629.0,1121.0,1505.0,3.0,1546.0,232.0,194.0,353.0,3.0,2.0,67.0,220.0,12.0,,,,,,,,,
2018.0,KM,Business,Undergraduate,3140.0,1703.0,1435.0,2.0,1483.0,613.0,95.0,286.0,0.0,2.0,76.0,559.0,26.0,,,,,,,,,
2018.0,KN,Education,Undergraduate,608.0,75.0,532.0,1.0,384.0,59.0,31.0,97.0,0.0,1.0,21.0,14.0,1.0,,,,,,,,,
2018.0,KP,Engineering,Undergraduate,7234.0,5605.0,1627.0,2.0,2730.0,1954.0,110.0,493.0,3.0,7.0,264.0,1605.0,68.0,,,,,,,,,
2018.0,KR,Fine & Applied Arts,Undergraduate,1678.0,757.0,920.0,1.0,811.0,217.0,119.0,228.0,0.0,2.0,65.0,229.0,7.0,,,,,,,,,
2018.0,KT,Media,Undergraduate,993.0,353.0,640.0,0.0,596.0,83.0,71.0,108.0,1.0,0.0,37.0,90.0,7.0,,,,,,,,,
2018.0,KV,Liberal Arts & Sci,Undergraduate,12035.0,6083.0,5948.0,4.0,4903.0,2306.0,804.0,1486.0,7.0,9.0,396.0,2072.0,52.0,,,,,,,,,
2018.0,KW,General Studies,Undergraduate,2962.0,1746.0,1215.0,1.0,1076.0,452.0,311.0,581.0,3.0,1.0,86.0,441.0,11.0,,,,,,,,,
2018.0,KY,Applied Health Sci,Undergraduate,2038.0,676.0,1362.0,0.0,1080.0,294.0,242.0,301.0,0.0,3.0,78.0,37.0,3.0,,,,,,,,,
2018.0,LL,School of Social Work,Undergraduate,259.0,35.0,224.0,0.0,144.0,17.0,21.0,61.0,0.0,1.0,12.0,3.0,0.0,,,,,,,,,
2018.0,LN,Center Innov in Teach Learn,Undergraduate,94.0,49.0,40.0,5.0,29.0,15.0,7.0,8.0,0.0,1.0,5.0,0.0,29.0,,,,,,,,,
2018.0,NB,Provost & VC Acad Affairs,Undergraduate,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
2023.0,KL,"Agr, Cons, Env Sci",Undergraduate,2674.0,1178.0,1496.0,0.0,1440.0,299.0,166.0,485.0,6.0,3.0,79.0,155.0,41.0,,,,,,,,,
2023.0,KM,Business,Undergraduate,3112.0,1761.0,1348.0,3.0,1259.0,742.0,120.0,379.0,0.0,1.0,106.0,460.0,45.0,,,,,,,,,
2023.0,KN,Education,Undergraduate,728.0,92.0,636.0,0.0,412.0,82.0,45.0,135.0,0.0,0.0,30.0,20.0,4.0,,,,,,,,,
2023.0,KP,Engineering,Undergraduate,8659.0,6540.0,2116.0,3.0,2621.0,2747.0,149.0,736.0,1.0,3.0,341.0,1921.0,140.0,,,,,,,,,
2023.0,KR,Fine & Applied Arts,Undergraduate,1834.0,772.0,1059.0,3.0,877.0,269.0,126.0,282.0,0.0,1.0,83.0,177.0,19.0,,,,,,,,,
2023.0,KT,Media,Undergraduate,942.0,349.0,593.0,0.0,438.0,140.0,80.0,157.0,0.0,0.0,29.0,90.0,8.0,,,,,,,,,
2023.0,KV,Liberal Arts & Sci,Undergraduate,12297.0,5740.0,6545.0,12.0,4552.0,2807.0,714.0,1662.0,2.0,1.0,498.0,1920.0,141.0,,,,,,,,,
2023.0,KW,General Studies,Undergraduate,2047.0,1092.0,955.0,0.0,704.0,271.0,219.0,466.0,1.0,2.0,69.0,293.0,22.0,,,,,,,,,
2023.0,KY,Applied Health Sci,Undergraduate,2222.0,780.0,1440.0,2.0,1007.0,371.0,270.0,411.0,0.0,1.0,96.0,49.0,17.0,,,,,,,,,
2023.0,LL,School of Social Work,Undergraduate,276.0,40.0,235.0,1.0,151.0,23.0,22.0,65.0,0.0,1.0,11.0,3.0,0.0,,,,,,,,,
2023.0,LN,Center Innov in Teach Learn,Undergraduate,111.0,49.0,57.0,5.0,22.0,18.0,6.0,10.0,0.0,0.0,8.0,2.0,45.0,,,,,,,,,
2023.0,LP,School of Information Sciences,Undergraduate,560.0,319.0,240.0,1.0,116.0,225.0,35.0,50.0,0.0,0.0,11.0,114.0,9.0,,,,,,,,,
2023.0,NB,Provost & VC Acad Affairs,Undergraduate,5.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
